event_type,protein_id, protein parent id,shine_dal,length,concentration,hamming_dist,dist_next_protein,nb_proteins,dna_length,m,w,h,c,f
initial,0,0,4629,15,0,4,5000,1,5000,0.333333,0.0222222,0.779528,0.2,functional
DUPL,1,0,3268,15,0,4,3639,2,8587,0.333333,0.0222222,0.779528,0.2,functional
 ,0,0,8216,15,0,4,3639,2,8587,0.333333,0.0222222,0.779528,0.2,functional
DUPL,1,1,3268,15,0,4,3639,3,10102,0.333333,0.0222222,0.779528,0.2,functional
 ,2,1,7612,10,0,4,4344,3,10102,0.285714,0.0190476,1,0.2,functional
 ,0,0,9731,15,0,4,3639,3,10102,0.333333,0.0222222,0.779528,0.2,functional
DUPL,1,1,3822,15,0,4,4193,3,10656,0.333333,0.0222222,0.779528,0.2,functional
 ,2,2,8166,10,0,4,4344,3,10656,0.285714,0.0190476,1,0.2,functional
 ,0,0,10285,15,0,4,4193,3,10656,0.333333,0.0222222,0.779528,0.2,functional
DUPL,1,1,3822,21,0,4,4193,4,13094,0.365079,0.021164,0.753425,0.2,functional
 ,3,0,4293,15,0,4,471,4,13094,0.333333,0.0222222,0.779528,0.2,functional
 ,2,2,10604,10,0,4,6311,4,13094,0.285714,0.0190476,1,0.2,functional
 ,0,0,12723,15,0,4,4193,4,13094,0.333333,0.0222222,0.779528,0.2,functional
INV,3,3,1441,15,0,11,12623,4,13094,0.333333,0.0222222,0.779528,0.2,functional
 ,1,1,1912,21,0,11,12623,4,13094,0.365079,0.021164,0.753425,0.2,functional
 ,2,2,10604,10,0,4,6311,4,13094,0.285714,0.0190476,1,0.2,functional
 ,0,0,12723,15,0,4,4193,4,13094,0.333333,0.0222222,0.779528,0.2,functional
DUPL,3,3,1441,15,0,11,13297,6,18262,0.333333,0.0222222,0.779528,0.2,functional
 ,1,1,1912,21,0,11,4023,6,18262,0.365079,0.021164,0.753425,0.2,functional
 ,4,3,5935,15,0,11,471,6,18262,0.333333,0.0222222,0.779528,0.2,functional
 ,5,1,6406,21,0,11,13297,6,18262,0.365079,0.021164,0.753425,0.2,functional
 ,2,2,15772,10,0,4,16143,6,18262,0.285714,0.0190476,1,0.2,functional
 ,0,0,17891,15,0,4,16143,6,18262,0.333333,0.0222222,0.779528,0.2,functional
TRANS,3,3,1441,15,0,11,4060,6,18262,0.333333,0.0222222,0.779528,0.2,functional
 ,1,1,1912,21,0,11,13260,6,18262,0.365079,0.021164,0.753425,0.2,functional
 ,2,2,8218,10,0,4,8589,6,18262,0.285714,0.0190476,1,0.2,functional
 ,4,4,15172,15,0,11,471,6,18262,0.333333,0.0222222,0.779528,0.2,functional
 ,5,5,15643,21,0,11,4060,6,18262,0.365079,0.021164,0.753425,0.2,functional
 ,0,0,17891,15,0,4,8589,6,18262,0.333333,0.0222222,0.779528,0.2,functional
TRANS,2,2,1941,10,0,11,4560,5,18262,0.285714,0.0190476,1,0.2,functional
 ,3,3,10004,15,0,11,471,5,18262,0.333333,0.0222222,0.779528,0.2,functional
 ,1,1,10475,21,0,11,5168,5,18262,0.365079,0.021164,0.753425,0.2,functional
 ,5,5,15643,21,0,11,4560,5,18262,0.365079,0.021164,0.753425,0.2,functional
 ,0,0,17891,15,0,4,18262,5,18262,0.333333,0.0222222,0.779528,0.2,functional
INV,2,2,1941,10,0,11,4560,5,18262,0.285714,0.0190476,1,0.2,functional
 ,1,1,9187,21,0,4,9558,5,18262,0.365079,0.021164,0.753425,0.2,functional
 ,3,3,9658,15,0,4,471,5,18262,0.333333,0.0222222,0.779528,0.2,functional
 ,5,5,15643,21,0,11,4560,5,18262,0.365079,0.021164,0.753425,0.2,functional
 ,0,0,17891,15,0,4,18262,5,18262,0.333333,0.0222222,0.779528,0.2,functional
DUPL,2,2,1941,10,0,11,9054,8,28840,0.285714,0.0190476,1,0.2,functional
 ,1,1,9187,21,0,4,9558,8,28840,0.365079,0.021164,0.753425,0.2,functional
 ,3,3,9658,15,0,4,471,8,28840,0.333333,0.0222222,0.779528,0.2,functional
 ,5,5,15643,21,0,11,1524,8,28840,0.365079,0.021164,0.753425,0.2,functional
 ,7,5,17167,21,0,11,4560,8,28840,0.365079,0.021164,0.753425,0.2,functional
 ,8,0,19415,15,0,4,9757,8,28840,0.333333,0.0222222,0.779528,0.2,functional
 ,6,2,21727,10,0,11,9054,8,28840,0.285714,0.0190476,1,0.2,functional
 ,0,0,28469,15,0,4,9558,8,28840,0.333333,0.0222222,0.779528,0.2,functional
DEL,1,1,1353,21,0,4,6019,6,16247,0.365079,0.021164,0.753425,0.2,functional
 ,3,3,1824,15,0,4,471,6,16247,0.333333,0.0222222,0.779528,0.2,functional
 ,5,5,7809,21,0,11,10163,6,16247,0.365079,0.021164,0.753425,0.2,functional
 ,7,7,9333,21,0,11,4560,6,16247,0.365079,0.021164,0.753425,0.2,functional
 ,8,8,11581,15,0,4,6019,6,16247,0.333333,0.0222222,0.779528,0.2,functional
 ,6,6,13893,10,0,11,10163,6,16247,0.285714,0.0190476,1,0.2,functional
INV,1,1,1353,21,0,4,6019,6,16247,0.365079,0.021164,0.753425,0.2,functional
 ,3,3,1824,15,0,4,471,6,16247,0.333333,0.0222222,0.779528,0.2,functional
 ,7,7,4959,21,0,4,3135,6,16247,0.365079,0.021164,0.753425,0.2,functional
 ,5,5,6483,21,0,4,1524,6,16247,0.365079,0.021164,0.753425,0.2,functional
 ,8,8,11581,15,0,4,6019,6,16247,0.333333,0.0222222,0.779528,0.2,functional
 ,6,6,13893,10,0,11,10163,6,16247,0.285714,0.0190476,1,0.2,functional
DUPL,1,1,1353,21,0,4,6019,6,16426,0.365079,0.021164,0.753425,0.2,functional
 ,3,3,1824,15,0,4,471,6,16426,0.333333,0.0222222,0.779528,0.2,functional
 ,7,7,5138,21,0,4,3314,6,16426,0.365079,0.021164,0.753425,0.2,functional
 ,5,5,6662,21,0,4,1524,6,16426,0.365079,0.021164,0.753425,0.2,functional
 ,8,8,11760,15,0,4,6019,6,16426,0.333333,0.0222222,0.779528,0.2,functional
 ,6,6,14072,10,0,11,16426,6,16426,0.285714,0.0190476,1,0.2,functional
TRANS,1,1,1353,16,0,4,6019,6,16426,0.253968,0.0247312,1,0.2,functional
 ,7,7,2641,21,0,4,1288,6,16426,0.365079,0.021164,0.753425,0.2,functional
 ,5,5,4165,21,0,4,1524,6,16426,0.365079,0.021164,0.753425,0.2,functional
 ,3,3,7794,15,0,4,3629,6,16426,0.333333,0.0222222,0.779528,0.2,functional
 ,8,8,11760,15,0,4,6019,6,16426,0.333333,0.0222222,0.779528,0.2,functional
 ,6,6,14072,10,0,11,16426,6,16426,0.285714,0.0190476,1,0.2,functional
DUPL,1,1,1353,16,0,4,7183,7,20551,0.253968,0.0247312,1,0.2,functional
 ,7,7,2641,21,0,4,1288,7,20551,0.365079,0.021164,0.753425,0.2,functional
 ,5,5,4165,21,0,4,1524,7,20551,0.365079,0.021164,0.753425,0.2,functional
 ,3,3,7794,15,0,4,3629,7,20551,0.333333,0.0222222,0.779528,0.2,functional
 ,8,8,11760,15,0,4,3966,7,20551,0.333333,0.0222222,0.779528,0.2,functional
 ,9,5,14721,21,0,4,7183,7,20551,0.365079,0.021164,0.753425,0.2,functional
 ,6,6,18197,10,0,11,20551,7,20551,0.285714,0.0190476,1,0.2,functional
INV,1,1,1353,16,0,4,7183,7,20551,0.253968,0.0247312,1,0.2,functional
 ,7,7,2641,21,0,4,1288,7,20551,0.365079,0.021164,0.753425,0.2,functional
 ,5,5,4165,21,0,4,1524,7,20551,0.365079,0.021164,0.753425,0.2,functional
 ,3,3,7794,15,0,4,3629,7,20551,0.333333,0.0222222,0.779528,0.2,functional
 ,6,6,9253,10,0,4,12651,7,20551,0.285714,0.0190476,1,0.2,functional
